Trade,Buy Date,Sell Date,Buy Price,Sell Price,Return % (price),Shares,PnL Raw,PnL After Tax,Portfolio Value,Result
281,2022-06-07,2022-06-09,396.74,383.09,-3.44,295,-4020.24,-4020.24,54419.61,LOSS
282,2022-06-21,2022-06-27,359.48,372.43,3.6,303,3923.27,2185.26,56604.87,WIN
283,2022-07-06,2022-07-12,367.32,365.0,-0.63,308,-714.86,-714.86,55890.01,LOSS
284,2022-07-14,2022-07-21,362.2,382.21,5.53,309,6175.99,3440.03,59330.04,WIN
285,2022-07-26,2022-08-05,374.64,396.28,5.78,317,6854.47,3817.94,63147.98,WIN
286,2022-08-11,2022-08-17,402.53,408.91,1.59,314,2002.73,1115.52,64263.5,WIN
287,2022-09-08,2022-09-12,383.73,393.88,2.64,335,3399.52,1893.53,66157.03,WIN
288,2022-10-03,2022-10-05,352.81,362.9,2.86,375,3782.38,2106.78,68263.82,WIN
289,2022-10-17,2022-10-27,353.01,365.68,3.59,387,4898.07,2728.23,70992.04,WIN
290,2022-10-31,2022-11-01,371.67,370.05,-0.44,382,-621.29,-621.29,70370.76,LOSS
291,2022-11-09,2022-11-16,360.05,380.57,5.7,391,8020.24,4467.27,74838.03,WIN
292,2022-11-22,2022-11-28,384.85,381.01,-1.0,389,-1493.39,-1493.39,73344.64,LOSS
293,2022-11-29,2022-12-01,380.35,392.05,3.07,386,4509.45,2511.76,75856.4,WIN
294,2022-12-12,2022-12-15,383.93,374.96,-2.34,395,-3544.22,-3544.22,72312.18,LOSS
295,2022-12-22,2022-12-27,368.07,368.73,0.18,393,258.3,143.87,72456.06,WIN
296,2023-01-03,2023-01-13,368.17,385.26,4.64,394,6727.71,3747.33,76203.39,WIN
297,2023-01-23,2023-02-02,387.32,402.93,4.03,393,6143.74,3422.06,79625.46,WIN
298,2023-02-28,2023-03-01,383.1,381.63,-0.38,416,-610.86,-610.86,79014.6,LOSS
299,2023-03-15,2023-03-17,376.35,378.47,0.56,420,892.45,497.09,79511.69,WIN
300,2023-03-20,2023-03-22,382.11,380.53,-0.41,416,-658.33,-658.33,78853.36,LOSS
301,2023-03-27,2023-04-06,384.78,397.11,3.2,410,5051.52,2799.92,81653.28,WIN
302,2023-04-10,2023-04-19,397.51,401.91,1.11,411,1806.06,987.92,82641.2,WIN
303,2023-04-27,2023-05-01,400.23,403.24,0.75,413,1242.39,679.59,83320.79,WIN
304,2023-05-08,2023-05-11,400.55,399.96,-0.15,416,-246.29,-246.29,83074.49,LOSS
305,2023-05-16,2023-05-23,398.13,401.86,0.94,417,1555.18,850.68,83925.17,WIN
306,2023-05-26,2023-05-30,407.62,407.77,0.04,412,63.91,34.96,83960.14,WIN
307,2023-05-31,2023-06-05,405.51,414.49,2.21,414,3717.27,2033.35,85993.48,WIN
308,2023-06-08,2023-06-21,416.46,423.66,1.73,413,2976.07,1627.91,87621.39,WIN
309,2023-06-28,2023-07-05,425.08,431.64,1.54,412,2706.59,1480.51,89101.9,WIN
310,2023-07-17,2023-07-21,439.15,440.46,0.3,406,529.65,289.72,89391.62,WIN
311,2023-08-22,2023-08-23,426.79,431.54,1.11,419,1991.25,1089.22,90480.84,WIN
312,2023-08-24,2023-08-25,425.56,428.56,0.7,425,1275.76,697.84,91178.68,WIN
313,2023-08-28,2023-09-06,431.28,434.65,0.78,423,1425.04,779.5,91958.18,WIN
314,2023-09-13,2023-09-18,434.93,433.65,-0.29,423,-541.73,-541.73,91416.45,LOSS
315,2023-09-28,2023-10-02,418.88,417.7,-0.28,436,-516.24,-516.24,90900.21,LOSS
316,2023-10-05,2023-10-12,414.95,423.91,2.16,438,3922.95,2145.85,93046.06,WIN
317,2023-10-16,2023-10-17,426.23,426.21,-0.0,437,-8.54,-8.54,93037.52,LOSS
318,2023-10-23,2023-10-24,411.0,414.1,0.75,453,1402.87,767.37,93804.89,WIN
319,2023-10-30,2023-11-09,406.24,424.08,4.39,462,8238.61,4506.52,98311.41,WIN
320,2023-11-13,2023-11-24,430.29,445.06,3.43,457,6749.28,3691.86,102003.27,WIN
321,2023-12-06,2023-12-18,444.53,463.23,4.21,459,8578.86,4692.64,106695.91,WIN
322,2024-01-19,2024-01-22,473.49,474.49,0.21,451,451.19,246.8,106942.71,WIN
323,2024-02-15,2024-02-20,492.71,487.56,-1.05,434,-2236.81,-2236.81,104705.9,LOSS
324,2024-02-26,2024-03-04,496.62,502.81,1.25,422,2611.5,1428.49,106134.39,WIN
325,2024-04-01,2024-04-03,514.08,511.37,-0.53,413,-1117.93,-1117.93,105016.46,LOSS
326,2024-04-08,2024-04-09,510.69,511.28,0.12,411,242.98,132.91,105149.37,WIN
327,2024-04-22,2024-05-02,491.99,497.21,1.06,427,2234.62,1222.34,106371.71,WIN
328,2024-05-09,2024-05-20,512.12,521.86,1.9,415,4044.9,2212.56,108584.27,WIN
329,2024-06-04,2024-06-05,520.21,526.39,1.19,417,2581.11,1411.87,109996.13,WIN
330,2024-06-11,2024-06-13,528.64,534.05,1.02,416,2253.38,1232.6,111228.74,WIN
331,2024-06-25,2024-07-05,538.13,547.82,1.8,413,4005.49,2188.41,113417.14,WIN
332,2024-07-08,2024-07-10,548.45,554.41,1.09,414,2467.34,1324.96,114742.11,WIN
333,2024-07-11,2024-07-16,549.63,557.91,1.51,418,3455.79,1855.76,116597.87,WIN
334,2024-07-22,2024-07-23,547.83,546.97,-0.16,426,-365.79,-365.79,116232.08,LOSS
335,2024-07-26,2024-07-29,537.74,538.06,0.06,432,136.68,73.39,116305.47,WIN
336,2024-07-30,2024-08-01,535.33,536.33,0.19,435,433.43,232.75,116538.22,WIN
337,2024-08-08,2024-08-20,524.12,551.83,5.29,445,12320.39,6616.05,123154.27,WIN
338,2024-08-22,2024-09-03,549.38,545.29,-0.74,448,-1833.29,-1833.29,121320.98,LOSS
339,2024-09-10,2024-09-20,542.04,562.98,3.86,448,9374.74,5034.23,126355.22,WIN
340,2024-09-23,2024-09-27,564.39,566.17,0.32,448,798.47,428.78,126784.0,WIN
341,2024-10-01,2024-10-09,563.35,571.79,1.5,450,3799.39,2040.27,128824.27,WIN
342,2024-10-17,2024-10-21,576.95,578.22,0.22,447,566.33,304.12,129128.39,WIN
343,2024-11-06,2024-11-13,585.56,591.65,1.04,441,2687.28,1443.07,130571.46,WIN
344,2024-11-20,2024-11-29,585.02,596.96,2.04,446,5329.01,2861.68,133433.14,WIN
345,2024-12-16,2024-12-17,601.16,598.69,-0.41,444,-1099.47,-1099.47,132333.67,LOSS
346,2024-12-23,2024-12-30,591.16,584.73,-1.09,448,-2879.51,-2879.51,129454.17,LOSS
347,2025-01-06,2025-01-10,591.82,577.04,-2.5,437,-6466.61,-6466.61,122987.56,LOSS
348,2025-01-16,2025-01-27,588.13,595.81,1.31,418,3213.78,1725.8,124713.36,WIN
349,2025-02-10,2025-02-13,601.26,606.11,0.81,415,2012.4,1080.66,125794.01,WIN
350,2025-02-18,2025-02-20,607.86,606.76,-0.18,414,-456.69,-456.69,125337.33,LOSS
351,2025-03-06,2025-03-10,569.31,557.25,-2.12,440,-5309.29,-5309.29,120028.03,LOSS
352,2025-03-13,2025-03-25,548.15,573.76,4.67,438,11219.25,6024.73,126052.77,WIN
353,2025-04-08,2025-04-09,495.02,547.0,10.5,509,26475.96,14217.59,140270.36,WIN
354,2025-04-14,2025-04-15,537.53,536.03,-0.28,522,-785.76,-785.76,139484.6,LOSS
355,2025-04-16,2025-04-17,524.11,524.86,0.14,532,398.03,213.74,139698.35,WIN
356,2025-04-22,2025-04-23,525.7,533.84,1.55,531,4329.37,2324.87,142023.22,WIN
357,2025-04-24,2025-04-25,545.08,549.02,0.72,521,2052.32,1102.1,143125.31,WIN
358,2025-04-30,2025-05-01,552.91,556.82,0.71,518,2028.63,1089.38,144214.69,WIN
359,2025-05-05,2025-05-15,561.85,588.72,4.78,513,13794.23,7407.5,151622.19,WIN
360,2025-06-05,2025-06-12,591.3,601.97,1.8,513,5471.23,2938.05,154560.24,WIN
361,2025-06-23,2025-07-01,600.15,617.65,2.92,515,9013.76,4840.39,159400.63,WIN
362,2025-07-02,2025-07-07,620.45,620.68,0.04,514,118.17,63.46,159464.09,WIN
363,2025-07-22,2025-07-24,628.86,634.42,0.88,507,2819.77,1514.22,160978.3,WIN
364,2025-08-07,2025-08-08,632.25,637.18,0.78,509,2510.47,1348.12,162326.42,WIN
