Date,Close
2011-01-03,96.6791000366211
2011-01-04,96.6258316040039
2011-01-05,97.12806701660156
2011-01-06,96.93785095214844
2011-01-07,96.74756622314453
2011-01-10,96.6258316040039
2011-01-11,96.96825408935547
2011-01-12,97.84336853027344
2011-01-13,97.6835708618164
2011-01-14,98.3912582397461
2011-01-18,98.55866241455078
2011-01-19,97.59223937988281
2011-01-20,97.46289825439453
2011-01-21,97.6835708618164
2011-01-24,98.23908996582031
2011-01-25,98.29232025146484
2011-01-26,98.67279815673828
2011-01-27,98.91629791259766
2011-01-28,97.18894958496094
2011-01-31,97.91946411132812
2011-02-01,99.48700714111328
2011-02-02,99.2967758178711
2011-02-03,99.51747131347656
2011-02-04,99.79898071289062
2011-02-07,100.4229736328125
2011-02-08,100.87956237792969
2011-02-09,100.6512451171875
2011-02-10,100.6893539428711
2011-02-11,101.29044342041016
2011-02-14,101.53396606445312
2011-02-15,101.2143783569336
2011-02-16,101.85359191894531
2011-02-17,102.15792846679688
2011-02-18,102.37104797363281
2011-02-22,100.31642150878906
2011-02-23,99.70005798339844
2011-02-24,99.631591796875
2011-02-25,100.69699096679688
2011-02-28,101.3209457397461
2011-03-01,99.631591796875
2011-03-02,99.84467315673828
2011-03-03,101.56443786621094
2011-03-04,100.80345153808594
2011-03-07,100.01206970214844
2011-03-08,100.88713836669922
2011-03-09,100.74259948730469
2011-03-10,98.87825775146484
2011-03-11,99.56311798095703
2011-03-14,98.96198272705078
2011-03-15,97.8281478881836
2011-03-16,96.01708221435547
2011-03-17,97.28788757324219
2011-03-18,97.6417236328125
2011-03-21,99.15495300292969
2011-03-22,98.81101989746094
2011-03-23,99.09378814697266
2011-03-24,100.04151153564453
2011-03-25,100.34722137451172
2011-03-28,100.1026382446289
2011-03-29,100.77518463134766
2011-03-30,101.47066497802734
2011-03-31,101.33306884765625
2011-04-01,101.76110076904297
2011-04-04,101.84516143798828
2011-04-05,101.82984924316406
2011-04-06,102.1508560180664
2011-04-07,101.89100646972656
2011-04-08,101.53943634033203
2011-04-11,101.23373413085938
2011-04-12,100.47713470458984
2011-04-13,100.4694595336914
2011-04-14,100.54588317871094
2011-04-15,100.9127426147461
2011-04-18,99.78163146972656
2011-04-19,100.35482025146484
2011-04-20,101.72285461425781
2011-04-21,102.2425765991211
2011-04-25,102.13557434082031
2011-04-26,103.01445007324219
2011-04-27,103.68700408935547
2011-04-28,104.02324676513672
2011-04-29,104.26778411865234
2011-05-02,104.10733795166016
2011-05-03,103.73287200927734
2011-05-04,103.04500579833984
2011-05-05,102.1126480102539
2011-05-06,102.56352996826172
2011-05-09,102.96092987060547
2011-05-10,103.8398666381836
2011-05-11,102.7469482421875
2011-05-12,103.236083984375
2011-05-13,102.44127655029297
2011-05-16,101.7916488647461
2011-05-17,101.77632141113281
2011-05-18,102.68582916259766
2011-05-19,102.93036651611328
2011-05-20,102.1126480102539
2011-05-23,100.92801666259766
2011-05-24,100.84393310546875
2011-05-25,101.18022918701172
2011-05-26,101.64643859863281
2011-05-27,102.03619384765625
2011-05-31,103.09850311279297
2011-06-01,100.78280639648438
2011-06-02,100.67581176757812
2011-06-03,99.67462158203125
2011-06-06,98.6199722290039
2011-06-07,98.55883026123047
2011-06-08,98.14612579345703
2011-06-09,98.89509582519531
2011-06-10,97.5194091796875
2011-06-13,97.59585571289062
2011-06-14,98.833984375
2011-06-15,97.076171875
2011-06-16,97.29015350341797
2011-06-17,97.58047485351562
2011-06-20,98.0797348022461
2011-06-21,99.42378997802734
2011-06-22,98.82471466064453
2011-06-23,98.54054260253906
2011-06-24,97.3961410522461
2011-06-27,98.26406860351562
2011-06-28,99.54670715332031
2011-06-29,100.39923858642578
2011-06-30,101.3592529296875
2011-07-01,102.85696411132812
2011-07-05,102.77249145507812
2011-07-06,102.8953857421875
2011-07-07,103.9629898071289
2011-07-08,103.2256088256836
2011-07-11,101.3592529296875
2011-07-12,100.92147064208984
2011-07-13,101.25940704345703
2011-07-14,100.56050872802734
2011-07-15,101.14424896240234
2011-07-18,100.31473541259766
2011-07-19,101.94298553466797
2011-07-20,101.8815689086914
2011-07-21,103.29473876953125
2011-07-22,103.36385345458984
2011-07-25,102.78785705566406
2011-07-26,102.40383911132812
2011-07-27,100.30707550048828
2011-07-28,100.01517486572266
2011-07-29,99.33160400390625
2011-08-01,98.9091796875
2011-08-02,96.38230895996094
2011-08-03,96.90457916259766
2011-08-04,92.36546325683594
2011-08-05,92.2271957397461
2011-08-08,86.22107696533203
2011-08-09,90.23027038574219
2011-08-10,86.2441177368164
2011-08-11,90.11508178710938
2011-08-12,90.72183227539062
2011-08-15,92.64193725585938
2011-08-16,91.850830078125
2011-08-17,91.91228485107422
2011-08-18,87.94916534423828
2011-08-19,86.5129165649414
2011-08-22,86.58204650878906
2011-08-23,89.43148803710938
2011-08-24,90.69108581542969
2011-08-25,89.3086166381836
2011-08-26,90.60659790039062
2011-08-29,93.21028137207031
2011-08-30,93.4560546875
2011-08-31,93.87081146240234
2011-09-01,92.8876953125
2011-09-02,90.51444244384766
2011-09-06,89.85391998291016
2011-09-07,92.38848876953125
2011-09-08,91.42842102050781
2011-09-09,89.03211212158203
2011-09-12,89.6081314086914
2011-09-13,90.42993927001953
2011-09-14,91.68189239501953
2011-09-15,93.2640609741211
2011-09-16,93.8160171508789
2011-09-19,92.88190460205078
2011-09-20,92.77381896972656
2011-09-21,90.04085540771484
2011-09-22,87.13032531738281
2011-09-23,87.6552963256836
2011-09-26,89.73977661132812
2011-09-27,90.743408203125
2011-09-28,88.89057159423828
2011-09-29,89.59307861328125
2011-09-30,87.35424041748047
2011-10-03,84.86833953857422
2011-10-04,86.7288818359375
2011-10-05,88.33468627929688
2011-10-06,89.9327621459961
2011-10-07,89.33061218261719
2011-10-10,92.3183364868164
2011-10-11,92.41096496582031
2011-10-12,93.22157287597656
2011-10-13,93.03634643554688
2011-10-14,94.62669372558594
2011-10-17,92.82015228271484
2011-10-18,94.6343994140625
2011-10-19,93.51495361328125
2011-10-20,93.92414093017578
2011-10-21,95.70748138427734
2011-10-24,96.88097381591797
2011-10-25,94.99722290039062
2011-10-26,95.9622802734375
2011-10-27,99.30513763427734
2011-10-28,99.28194427490234
2011-10-31,96.88870239257812
2011-11-01,94.18660736083984
2011-11-02,95.72294616699219
2011-11-03,97.46771240234375
2011-11-04,96.87326049804688
2011-11-07,97.47541809082031
