,price_returns
0,
1,-0.0005511876290456019
2,0.005197624853263472
3,-0.001958618312906446
4,-0.0019623841854720103
5,-0.0012585201250907563
6,0.003544165246939013
7,0.009024519837742107
8,-0.0016336553831617362
9,0.0072451744412938
10,0.0017014800560399834
11,-0.009805747031219059
12,-0.0013254111755311992
13,0.0022639006215681157
14,0.005686942834869146
15,0.0005416672043396797
16,0.003871299779611981
17,0.0024678538916704795
18,-0.017462829401437174
19,0.007516519152558576
20,0.01600852604396641
21,-0.00191187374700863
22,0.002222164637003088
23,0.0028289834395662794
24,0.006252857579125859
25,0.004546345295920906
26,-0.002263146592074161
27,0.0003782216027734542
28,0.005970119724641787
29,0.0024037784623178737
30,-0.0031471381272362153
31,0.00631534058927774
32,0.0029881286820050423
33,0.0020856209597373
34,-0.0200697298153929
35,-0.0061443298069536745
36,-0.0006869912749004614
37,0.010692834057718592
38,0.006196424328200445
39,-0.01667281947033561
40,0.0021385819589174737
41,0.017224429607176406
42,-0.007492260075720569
43,-0.007851013027781573
44,0.008749563906289115
45,-0.001432834811730399
46,-0.018506023814827577
47,0.006926250466373407
48,-0.006037274079692567
49,-0.011457679495461282
50,-0.018512710683224798
51,0.013235076382778654
52,0.0036372430419062685
53,0.015497798978693966
54,-0.0034686808860767693
55,0.002861962195554346
56,0.009563338259848564
57,0.0030559073785889623
58,-0.0024372026108619993
59,0.006718663123984614
60,0.006901451289022198
61,-0.0013558079773742238
62,0.004223589071493894
63,0.0008261270598397541
64,-0.00015033014841858705
65,0.0031525170451038864
66,-0.0025435321242353037
67,-0.00345070417841431
68,-0.0030108990144945835
69,-0.007474099820139246
70,-7.577545172754441e-05
71,0.0007605908349517243
72,0.003648541634020619
73,-0.011208599882512993
74,0.005744396621316872
75,0.013631986150411057
76,0.005108764687791201
77,-0.0010464497022205643
78,0.008605110508003166
79,0.006528898977498976
80,0.0032430561534193547
81,0.0023511466373569156
82,-0.0015392213041138803
83,-0.0035971496780003998
84,-0.006630766804528232
85,-0.009048713771716344
86,0.004416140368249444
87,0.003874879103153983
88,0.00853575792860517
89,-0.010524657439778817
90,0.00476077867464908
91,-0.007699051880688201
92,-0.006341650042921421
93,-0.00015048331088196587
94,0.00893642109283932
95,0.002381401859193888
96,-0.007944781448682714
97,-0.01160067260771458
98,-0.0008330205705689986
99,0.0033344113314612844
100,0.0046077811354301446
101,0.003834417482485142
102,0.010411042459786968
103,-0.02246078440126653
104,-0.0010618309508523271
105,-0.009944616220380231
106,-0.010581474644553834
107,-0.0006194557145019486
108,-0.004187286518594235
109,0.007631114613566137
110,-0.01391034003799474
111,0.0007833671742691894
