Entry Date,Entry Price,Min F&G,Min F&G Date,Days in Low F&G,F&G Trend,30d_Return,30d_MaxGain,30d_MaxDrawdown,30d_RR,60d_Return,60d_MaxGain,60d_MaxDrawdown,60d_RR,90d_Return,90d_MaxGain,90d_MaxDrawdown,90d_RR,180d_Return,180d_MaxGain,180d_MaxDrawdown,180d_RR,365d_Return,365d_MaxGain,365d_MaxDrawdown,365d_RR
2011-06-10,98.32734680175781,5.0,2011-06-10,1,0.0,5.4024445447620035,6.6074605123758126,-0.45454044634830554,14.536573291681602,-7.860474759314156,6.6074605123758126,-11.58576507286412,0.5703085183257889,-2.958404129372821,6.6074605123758126,-12.972896723314362,0.5093280747777136,9.591322507003047,9.591322507003047,-12.972896723314362,0.7393354554165157,12.760807333230808,18.42772348335602,-12.972896723314362,1.4204787008161766
2011-06-14,99.65280151367188,5.0,2011-06-14,2,0.0,1.4904730566300293,5.189503779449094,-1.7785674321519753,2.917799845896234,-7.4929266438069435,5.189503779449094,-12.761738678266186,0.40664551361540197,-4.967763747606359,5.189503779449094,-14.130420469262328,0.36725756255716074,8.267290332676655,8.267290332676655,-14.130420469262328,0.5850703700332454,12.537587013994816,16.852548659086434,-14.130420469262328,1.192643113185875
2011-08-03,97.70745086669922,1.0,2011-08-08,7,1.0,-3.7568427990605864,-3.1307101409565656,-11.024829091559885,-0.2839690406949979,2.4771934027401725,2.4771934027401725,-12.420761271180398,0.19943974033926137,0.4217788626603661,2.4771934027401725,-12.420761271180398,0.19943974033926137,11.083985575999957,14.216343290638791,-12.420761271180398,1.1445629603738252,20.509332958321618,20.53387477862193,-12.420761271180398,1.6531897144071352
2014-08-01,158.70298767089844,5.0,2014-08-01,5,0.0,3.366225484120919,4.472731268939122,-0.7636365769075122,5.8571464544722,2.377643785419891,4.841540891390715,-2.784046818121639,1.7390299832160299,7.7585107009978795,8.557000503520944,-2.784046818121639,3.0735835503277364,10.486850046232203,11.250111650505506,-2.784046818121639,4.040920424641355,1.1408302028726942,12.608060623267974,-2.784046818121639,4.528681249611482
2014-10-02,161.00204467773438,3.0,2014-10-02,3,2.0,5.0467756503146965,5.0467756503146965,-4.172259115589072,1.2096026422371788,7.969933933125652,7.969933933125652,-4.172259115589072,1.9102202697208066,7.043974134311652,7.969933933125652,-4.172259115589072,1.9102202697208066,10.634568015899266,10.935588825400917,-4.172259115589072,2.621023412601963,7.357429277358614,11.000054021113726,-4.172259115589072,2.6364743215524507
2014-10-08,162.87393188476562,0.0,2014-10-13,7,-2.0,4.363325603099688,4.531114830600333,-5.273593872873288,0.8592081490969232,3.1496314539128614,6.729050657731898,-5.273593872873288,1.2759895471559346,7.450047807282409,7.450047807282409,-5.273593872873288,1.4127079154890043,8.29468997216254,9.660621695156484,-5.273593872873288,1.8318857932632093,7.310972928318306,9.724346001435624,-5.273593872873288,1.8439694515454539
2014-10-20,157.62261962890625,5.0,2014-10-20,1,0.0,8.822912701661071,9.111936197985742,1.2558717578274294,7.255467081884822,5.1594605049624604,10.284806634219933,1.2558717578274294,8.189376479021975,12.012635871827527,12.012635871827527,1.2558717578274294,9.565177174306832,9.278626162589656,13.314045093706111,1.2558717578274294,10.601436819264478,11.80222839284117,13.379892421613413,-1.385475407639684,9.657257247465395
2015-08-24,159.30189514160156,3.0,2015-08-24,1,0.0,4.917323347135046,5.635905103146942,-1.1767805947293724,4.789257341928762,8.991141674303154,11.924501214510446,-1.1767805947293724,10.13315588982223,8.786074801276513,11.924501214510446,-1.1767805947293724,10.13315588982223,10.757739768232002,12.688628908270097,-2.4250170665561686,5.232387467808446,25.004901815697668,25.130275270835494,-2.4250170665561686,10.36292717994091
2018-10-11,244.06971740722656,5.0,2018-10-11,1,0.0,-3.277389376777118,3.2479558281708445,-3.277389376777118,0.9910192091257654,-4.66384205462674,3.2479558281708445,-13.396628383256063,0.24244576584884156,3.159805225930306,3.2479558281708445,-13.396628383256063,0.24244576584884156,10.567237872149493,10.567237872149493,-13.396628383256063,0.7887983132649318,-1.0639089990699173,27.405578357664258,-15.552073155247026,1.7621816772651975
2018-12-20,221.6507568359375,2.0,2018-12-24,4,-1.0,11.136014171452993,11.136014171452993,-4.637093332114378,2.4015074474197178,15.079342678532385,15.426772381637912,-4.637093332114378,3.3268194700329135,19.01542216687971,20.17627025112859,-4.637093332114378,4.35105977086918,22.44885483402845,24.042496184799447,-4.637093332114378,5.184820417198025,29.86407091674409,40.2920700553982,-7.010551487170957,5.747346714324993
2020-03-09,252.03683471679688,3.0,2020-03-09,1,0.0,0.151578757203124,5.17455259232549,-18.221550180215075,0.28397982285524803,14.508188473718095,14.508188473718095,-18.221550180215075,0.7962104393001128,18.1841231770985,18.574691087977914,-18.221550180215075,1.0193803987185612,31.433270171986223,34.111268506599615,-18.221550180215075,1.8720288981580484,62.84235990876578,62.84235990876578,-18.221550180215075,3.4487932852716283
2020-03-11,252.1564178466797,2.0,2020-03-12,6,1.0,2.3184841833348733,5.090218206324923,-18.260332944778142,0.2787582363212363,17.078933948825085,17.078933948825085,-18.260332944778142,0.9353024394721731,19.42798334410771,19.42798334410771,-18.260332944778142,1.0639446390633023,34.28798940873954,34.28798940873954,-18.260332944778142,1.8777307901466707,62.79129914737521,63.34814151590259,-18.260332944778142,3.469166838714082
