Train_Start,Train_End,Test_Start,Test_End,lookback_days,momentum_threshold,use_dynamic_sizing,use_multi_timeframe,use_regime_detection,use_volatility_adjustment,Train_Sharpe,Train_Return,Test_Sharpe,Test_Return,Test_Drawdown,Test_WinRate
2011-01-03,2015-12-31,2016-01-01,2018-12-31,3,2.0,False,True,False,True,2.1192916655810143,2.942666863605751,0.8581366701114208,0.2992579620594973,-0.11914851279635652,0.8214285714285714
2013-01-01,2017-12-31,2018-01-01,2020-09-18,3,2.0,False,False,True,False,1.2939866507659967,0.9128904984716326,0.9227423219153311,0.5554725056891192,-0.20817480390939902,0.88
2011-01-03,2018-12-31,2019-01-01,2020-09-18,3,2.0,False,False,True,False,1.7550089373170583,4.344741694716907,0.7867117964371539,0.30137803657114404,-0.20817570530550744,0.896551724137931
